Numero (col C),Debito - Cuenta (col F),Debito - Descripci√≥n (col G),AP - Cuenta (col F),AP - Descripci√≥n (col G)
888,1405100100,MATERIA PRIMA MOLINO          ,2205050000,MATERIA PRIMA                 
5185,5135050000,ASEO Y VIGILANCIA             ,2335950300,SERVICIOS DE ASEO Y VIGILANCIA
5186,5135350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5187,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5188,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5189,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5190,5110350000,ASESORIA TECNICA              ,2335250000,HONORARIOS                    
5191,5135350000,TELEFONO                      ,2335500000,SERVICIOS PUBLICOS            
5192,5150150000,REPARACIONES LOCATIVAS        ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5193,5130400000,FLOTA Y EQUIPO DE TRANSPORTE  ,2335550000,SEGUROS                       
5194,5155050000,ALOJAMIENTO Y MANUTENCION     ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5195,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5196,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5197,7335300000,ENERGIA ELECTRICA             ,2335500000,SERVICIOS PUBLICOS            
5198,5395950000,OTROS-POS Y SIN REQUISITOS DED,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5199,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5200,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5201,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5202,7320100000,CONSTRUCICONES Y EDIFICACIONES,2335400000,ARRENDAMIENTOS                
5203,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5204,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5205,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5206,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5207,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5208,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5209,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5210,5195300000,UTILES  PAPELERIA Y FOTOCOPIAS,2335960100,LEG CM FC                     
5211,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5212,5145400000,FLOTA Y EQUIPO DE TRANSPORTE  ,2335960100,LEG CM FC                     
5213,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5214,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5215,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5216,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5217,5195650000,PARQUEADEROS                  ,2335960100,LEG CM FC                     
5218,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5219,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5220,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5221,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5222,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5223,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5224,1430102000,CRISTAL                       ,2205050000,MATERIA PRIMA                 
5225,5155050000,ALOJAMIENTO Y MANUTENCION     ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5226,5105850000,GASTOS MEDICOS Y DROGAS       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5227,5135950300,SERVICIOS DE INTERNET         ,2335500000,SERVICIOS PUBLICOS            
5228,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5229,7395350100,COMBUSTIBLE Y LUBRICANTES     ,2335960100,LEG CM FC                     
5230,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5231,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5232,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5233,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5234,5135500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5235,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5236,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2408050600,IVA DESCONTABLE POR GASTOS 5% 
5237,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5238,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5239,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5240,7335600000,SERVICIO DE FUMIGACION        ,2335950600,SERVICIOS DE FUMIGACION       
5241,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5242,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5243,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5244,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5245,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5246,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5247,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5248,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5249,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5250,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5251,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5252,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5253,5255200000,PASAJES TERRESTRES            ,2335960100,LEG CM FC                     
5254,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335960100,LEG CM FC                     
5255,5295600000,CASINO Y RESTAURANTE          ,2335960100,LEG CM FC                     
5256,7335250000,ACUEDUCTO Y ALCANTARILLADO    ,2335500000,SERVICIOS PUBLICOS            
5257,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5258,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5259,7335950200,SERVICIOS DE LOGISTICA        ,2335950500,SERVICIIOS LOGISTICOS Y BODEGA
5260,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5261,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5262,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5263,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5264,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5265,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5266,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5267,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5268,5155050000,ALOJAMIENTO Y MANUTENCION     ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5270,5195650000,PARQUEADEROS                  ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5271,7345150000,MAQUINARIA Y EQUIPO           ,2205050000,MATERIA PRIMA                 
5272,5110300000,ASESORIA FINANCIERA           ,2335250000,HONORARIOS                    
5273,5145250000,EQUIPO DE COMPUTACION Y COMUNI,2335350000,SERVICIOS DE MANTENIMIENTO    
5274,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5275,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5276,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5277,7395350200,GAS LICUADO PETROLEO          ,2205050000,MATERIA PRIMA                 
5278,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5279,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5280,5235950200,OTROS-SERVICIO REGISTRO BMC   ,2335200000,COMISIONES                    
5281,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5282,5235600000,PROPAGANDA Y PUBLICIDAD       ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5283,7345150000,MAQUINARIA Y EQUIPO           ,2335350000,SERVICIOS DE MANTENIMIENTO    
5284,5235500000,TRANSPORTE  FLETES Y ACARREOS ,2335450000,TRANSPORTES  FLETES Y ACARREOS
5285,7345150000,MAQUINARIA Y EQUIPO           ,2335950400,OTROS COSTOS Y GASTOS POR PAGA
5286,1405150100,EMPAQUE                       ,1405150100,EMPAQUE                       
5290,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5291,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5292,1405150100,EMPAQUE                       ,2205050000,MATERIA PRIMA                 
5293,1435010100,PRODUCTOS NO FABRICADOS       ,2205050000,MATERIA PRIMA                 
5294,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5295,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5296,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5297,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5298,7345150000,MAQUINARIA Y EQUIPO           ,2335960100,LEG CM FC                     
5299,5195350000,COMBUSTIBLES Y LUBRICANTES    ,2335960100,LEG CM FC                     
5300,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
5301,5195250000,ELEMENTOS DE ASEO Y CAFETERIA ,2335960100,LEG CM FC                     
